evidence_scenario,dataset_id,evaluation_scope,model_name,component_arm,reference_arm,metric,arm_value,reference_value,delta_arm_minus_full
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,capacity_off,full_controls,abstain_rate,0.1057346862081924,0.1771815107102593,-0.07144682450206691
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,capacity_off,full_controls,no_action_rate,0.5136114242765878,0.7332732055618189,-0.21966178128523106
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,capacity_off,full_controls,event_coverage_by_alert,0.44383687989986165,0.1071216812701759,0.33671519862968574
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,capacity_off,full_controls,alert_precision,0.6964387243500284,0.6869455006337135,0.009493223716314891
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,capacity_off,full_controls,false_alerts_per_100,8.8282600526118,2.2277339346110483,6.600526118000751
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,capacity_off,full_controls,event_coverage_by_human_review,0.10936161802490282,0.024276961591672707,0.08508465643323011
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,capacity_off,full_controls,non_event_human_reviews_per_100,3.9924840285606913,0.7305524239007892,3.2619316046599023
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,capacity_off,full_controls,auto_capacity_blocks_per_100,0.0,21.96617812852311,-21.96617812852311
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,capacity_off,full_controls,review_capacity_overflow_abstentions_per_100,0.0,7.144682450206689,-7.144682450206689
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,capacity_off,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,capacity_off,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,alert_rate,0.07116121758737316,0.07116121758737316,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,human_review_rate,0.018384066140548667,0.018384066140548667,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,abstain_rate,0.1771815107102593,0.1771815107102593,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,no_action_rate,0.7332732055618189,0.7332732055618189,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,event_coverage_by_alert,0.1071216812701759,0.1071216812701759,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,alert_precision,0.6869455006337135,0.6869455006337135,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,false_alerts_per_100,2.2277339346110483,2.2277339346110483,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,event_coverage_by_human_review,0.024276961591672707,0.024276961591672707,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,non_event_human_reviews_per_100,0.7305524239007892,0.7305524239007892,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,auto_capacity_blocks_per_100,21.96617812852311,21.96617812852311,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,review_capacity_overflow_abstentions_per_100,7.144682450206689,7.144682450206689,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,alert_rate,0.06550920706501315,0.07116121758737316,-0.005652010522360015
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,human_review_rate,0.02522360015031943,0.018384066140548667,0.006839534009770762
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,abstain_rate,0.17034197670048853,0.1771815107102593,-0.006839534009770776
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,no_action_rate,0.7389252160841788,0.7332732055618189,0.005652010522359974
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,event_coverage_by_alert,0.09865603794716385,0.1071216812701759,-0.008465643323012056
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,alert_precision,0.6872418540614961,0.6869455006337135,0.0002963534277825586
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,false_alerts_per_100,2.0488538143555055,2.2277339346110483,-0.17888012025554278
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,event_coverage_by_human_review,0.035180183147769946,0.024276961591672707,0.010903221556097239
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,non_event_human_reviews_per_100,0.9169485155956407,0.7305524239007892,0.1863960916948515
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,auto_capacity_blocks_per_100,22.531379180759114,21.96617812852311,0.5652010522360023
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,review_capacity_overflow_abstentions_per_100,6.460729049229613,7.144682450206689,-0.6839534009770762
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,alert_rate,0.07116121758737316,0.07116121758737316,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,human_review_rate,0.018384066140548667,0.018384066140548667,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,abstain_rate,0.0714468245020669,0.1771815107102593,-0.10573468620819242
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,no_action_rate,0.8390078917700112,0.7332732055618189,0.10573468620819237
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,event_coverage_by_alert,0.1071216812701759,0.1071216812701759,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,alert_precision,0.6869455006337135,0.6869455006337135,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,false_alerts_per_100,2.2277339346110483,2.2277339346110483,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,event_coverage_by_human_review,0.024276961591672707,0.024276961591672707,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,non_event_human_reviews_per_100,0.7305524239007892,0.7305524239007892,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,auto_capacity_blocks_per_100,21.96617812852311,21.96617812852311,0.0
