scope,model_name,outer_fold,prompt_threshold,n_decisions,n_positive,n_alert,n_human_review,n_abstain,n_no_action,n_action_routes,n_true_action_routes,n_false_action_routes,n_true_alerts,n_false_alerts,n_auto_capacity_blocks,n_review_capacity_overflow_abstentions,alert_rate,human_review_rate,abstain_rate,no_action_rate,action_route_rate,event_coverage_by_action,action_precision,false_actions_per_100,event_coverage_by_alert,alert_precision,false_alerts_per_100,auto_capacity_blocks_per_100,route_rate_sum
global_development_oof,hist_gradient_boosting,-1,0.71,66525,30358,3553,1153,13277,48542,4706,3860,846,2995,558,6009,2795,0.05340849304772642,0.017331830139045473,0.19957910559939873,0.7296805712138293,0.07074032318677188,0.12714935107714606,0.8202294942626435,1.2717023675310033,0.09865603794716385,0.8429496200394033,0.8387824126268321,9.032694475760993,1.0
global_development_oof,hist_gradient_boosting,-1,0.72,66525,30358,3437,1142,13129,48817,4579,3799,780,2928,509,5544,2647,0.05166478767380684,0.017166478767380686,0.1973543780533634,0.733814355505449,0.06883126644118752,0.12513999604717044,0.8296571303778117,1.1724915445321307,0.09644904143882996,0.8519057317427989,0.7651258925216085,8.333709131905298,1.0
global_development_oof,hist_gradient_boosting,-1,0.73,66525,30358,3331,1131,12920,49143,4462,3721,741,2852,479,5152,2438,0.05007140172867343,0.017001127395715895,0.19421270199173243,0.7387147688838782,0.06707252912438932,0.12257065682851308,0.8339309726580009,1.1138669673055241,0.09394558271295869,0.8561993395376764,0.7200300638857572,7.74445697106351,1.0
global_development_oof,hist_gradient_boosting,-1,0.74,66525,30358,3205,1091,12817,49412,4296,3600,696,2769,436,4784,2335,0.04817737692596768,0.016399849680571215,0.19266441187523486,0.7427583615182263,0.06457722660653889,0.11858488701495487,0.8379888268156425,1.0462232243517475,0.09121154226233612,0.86396255850234,0.6553927095077039,7.1912814731304024,1.0
global_development_oof,hist_gradient_boosting,-1,0.75,66525,30358,3083,1060,12766,49616,4143,3498,645,2684,399,4384,2284,0.0463434798947764,0.015933859451334086,0.1918977827884254,0.7458248778654641,0.06227733934611048,0.11522498188286448,0.8443157132512672,0.9695603156708005,0.08841162131892746,0.8705806033084658,0.5997745208568207,6.59000375798572,1.0
global_development_oof,hist_gradient_boosting,-1,0.76,66525,30358,2956,1027,12685,49857,3983,3387,596,2587,369,3989,2203,0.044434423149192034,0.015437805336339722,0.1906801954152574,0.7494475760992109,0.05987222848553175,0.11156861453323672,0.8503640472006025,0.8959037955655769,0.08521641741880229,0.875169147496617,0.5546786922209695,5.996242014280345,1.0
global_development_oof,hist_gradient_boosting,-1,0.77,66525,30358,2833,987,12592,50113,3820,3259,561,2494,339,3632,2110,0.042585494175122134,0.01483652762119504,0.18928222472754602,0.7532957534761368,0.057422021796317176,0.1073522629949272,0.8531413612565445,0.8432919954904171,0.0821529745042493,0.8803388633956936,0.5095828635851184,5.459601653513717,1.0
global_development_oof,hist_gradient_boosting,-1,0.78,66525,30358,2706,962,12556,50301,3668,3158,510,2386,320,3239,2074,0.04067643742953777,0.014460729049229614,0.18874107478391583,0.7561217587373168,0.05513716647876738,0.10402529810922986,0.8609596510359869,0.7666290868094702,0.07859542789380064,0.8817442719881744,0.48102217211574594,4.868846298384066,1.0
global_development_oof,hist_gradient_boosting,-1,0.79,66525,30358,2531,965,12589,50440,3496,3020,476,2242,289,2880,2107,0.03804584742577978,0.014505824877865465,0.18923712889891017,0.7582111987974446,0.05255167230364525,0.09947954410698992,0.8638443935926774,0.7155204810221721,0.07385203241320246,0.8858158830501778,0.43442314919203306,4.3291995490417134,1.0
global_development_oof,hist_gradient_boosting,-1,0.8,66525,30358,2358,940,12672,50555,3298,2873,425,2090,268,2501,2190,0.03544532130777903,0.014130026305900038,0.1904847801578354,0.7599398722284856,0.049575347613679065,0.0946373278872126,0.8711340206185567,0.6388575723412251,0.06884511496145991,0.8863443596268024,0.4028560691469372,3.759488913942127,1.0
global_development_oof,hist_gradient_boosting,-1,0.81,66525,30358,2167,931,12693,50734,3098,2713,385,1922,245,2158,2211,0.03257422021796317,0.013994738819992483,0.19080045095828635,0.762630590003758,0.04656895903795565,0.08936688846432571,0.8757262750161394,0.5787298008267568,0.06331115356742868,0.8869404706968159,0.368282600526118,3.2438932732055616,1.0
global_development_oof,hist_gradient_boosting,-1,0.82,66525,30358,1938,916,12770,50901,2854,2523,331,1730,208,1803,2288,0.029131905298759864,0.013769259676813228,0.19195791055993988,0.765140924464487,0.04290116497557309,0.08310824164964754,0.8840224246671339,0.49755730928222475,0.056986626259964424,0.8926728586171311,0.31266441187523486,2.710259301014656,0.9999999999999999
global_development_oof,hist_gradient_boosting,-1,0.83,66525,30358,1750,896,12843,51036,2646,2352,294,1574,176,1458,2361,0.026305900037579856,0.013468620819240888,0.19305524239007893,0.7671702367531004,0.03977452085682075,0.07747545951643718,0.8888888888888888,0.4419391206313416,0.05184794782264971,0.8994285714285715,0.26456219466366027,2.1916572717023675,1.0
global_development_oof,hist_gradient_boosting,-1,0.84,66525,30358,1519,878,12866,51262,2397,2142,255,1377,142,1164,2384,0.022833521232619315,0.013198045847425779,0.19340097707628712,0.7705674558436678,0.036031567080045096,0.07055800777389815,0.8936170212765957,0.3833145434047351,0.04535871928322024,0.9065174456879526,0.21345358887636226,1.749718151071026,1.0
global_development_oof,hist_gradient_boosting,-1,0.85,66525,30358,1279,822,12876,51548,2101,1889,212,1171,108,916,2394,0.019225854941751223,0.012356257046223224,0.19355129650507327,0.7748665915069523,0.03158211198797445,0.062224125436458264,0.8990956687291766,0.3186771890266817,0.038573028526253376,0.9155590304925724,0.16234498308906425,1.3769259676813228,1.0
global_development_oof,history_baseline,-1,0.3,66525,30358,4840,382,22597,38706,5222,3045,2177,2954,1886,33283,2312,0.07275460353250658,0.0057422021796317176,0.3396768132281097,0.5818263810597519,0.0784968057121383,0.10030305026681599,0.5831099195710456,3.272453964674934,0.09730548784504908,0.6103305785123967,2.835024426907178,50.03081548290117,1.0
global_development_oof,history_baseline,-1,0.31,66525,30358,4804,624,22861,38236,5428,3208,2220,2982,1822,32391,2576,0.07221345358887636,0.009379932356257047,0.34364524614806463,0.574761367906802,0.0815933859451334,0.105672310428882,0.5910095799557848,3.3370913190529876,0.09822781474405429,0.6207327227310575,2.7388199924840286,48.68996617812852,0.9999999999999999
global_development_oof,history_baseline,-1,0.32,66525,30358,4803,639,22987,38096,5442,3209,2233,2983,1820,31812,2702,0.07219842164599774,0.009605411499436303,0.34553927095077036,0.5726568959037955,0.08180383314543405,0.10570525067527504,0.589672914369717,3.3566328447951896,0.09826075499044733,0.621070164480533,2.735813603908305,47.819616685456594,0.9999999999999999
global_development_oof,history_baseline,-1,0.33,66525,30358,4799,657,23112,37957,5456,3200,2256,2980,1819,31204,2827,0.07213829387448328,0.00987598647125141,0.34741826381059754,0.5705674558436677,0.08201428034573469,0.10540878845773767,0.5865102639296188,3.391206313416009,0.09816193425126819,0.6209627005626173,2.7343104096204436,46.90567455843668,1.0
global_development_oof,history_baseline,-1,0.34,66525,30358,4790,682,23376,37677,5472,3210,2262,2977,1813,30539,3091,0.07200300638857572,0.010251785043216836,0.35138669673055245,0.5663585118376551,0.08225479143179255,0.1057381909216681,0.5866228070175439,3.400225479143179,0.09806311351208907,0.6215031315240084,2.725291243893273,45.906050357008645,1.0
global_development_oof,history_baseline,-1,0.35,66525,30358,4775,724,23663,37363,5499,3219,2280,2960,1815,29717,3378,0.07177752724539646,0.010883126644118753,0.3557008643367155,0.5616384817737693,0.08266065388951523,0.10603465313920549,0.585379159847245,3.42728297632469,0.09750312932340734,0.6198952879581152,2.7282976324689967,44.67042465238632,1.0
global_development_oof,history_baseline,-1,0.36,66525,30358,4766,747,24027,36985,5513,3217,2296,2951,1815,28853,3742,0.07164223975948891,0.011228861330326944,0.3611724915445321,0.555956407365652,0.08287110108981585,0.10596877264641939,0.5835298385633956,3.4513340849304774,0.09720666710586995,0.6191775073436845,2.7282976324689967,43.37166478767381,1.0
global_development_oof,history_baseline,-1,0.37,66525,30358,4714,608,24028,37175,5322,3096,2226,2913,1801,27524,3743,0.07086057872980082,0.009139421270199174,0.36118752348741073,0.5588124765125893,0.08,0.10198300283286119,0.5817361894024803,3.3461104847801577,0.09595493774293432,0.6179465422146797,2.707252912438933,41.373919579105596,1.0
global_development_oof,history_baseline,-1,0.38,66525,30358,4694,744,24727,36360,5438,3230,2208,2909,1785,26735,4442,0.07055993987222849,0.011183765501691093,0.37169485155956405,0.5465614430665163,0.08174370537391958,0.10639699584952896,0.5939683707245311,3.319052987598647,0.09582317675736214,0.6197273114614401,2.6832018038331453,40.187899285982716,1.0
global_development_oof,history_baseline,-1,0.39,66525,30358,4659,775,25156,35935,5434,3230,2204,2884,1775,25698,4871,0.07003382187147689,0.011649755730928222,0.37814355505449077,0.5401728673431041,0.0816835776024051,0.10639699584952896,0.5944055944055944,3.3130402104472,0.09499967059753607,0.6190169564284181,2.6681698609545283,38.629086809470124,0.9999999999999999
global_development_oof,history_baseline,-1,0.4,66525,30358,4571,841,25614,35499,5412,3207,2205,2829,1742,24588,5329,0.06871101089815859,0.012641863960916948,0.3850281848928974,0.533618940248027,0.08135287485907554,0.10563937018248896,0.5925720620842572,3.314543404735062,0.0931879570459187,0.6189017720411288,2.618564449455092,36.96054114994363,1.0
